sensor_noise_0,sensor_0,sensor_noise_1,sensor_1,sensor_noise_2,sensor_2,sensor_noise_3,sensor_3,sensor_noise_4,sensor_4,sensor_noise_5,sensor_5,sensor_noise_6,sensor_6,sensor_noise_7,sensor_7,original_signal
9.84187668859062e-06,9.82780952791725e-06,7.72340678297365e-06,7.70933962230028e-06,1.25456790569972e-05,1.253161189632383e-05,2.14767872434263e-05,2.1462720082752932e-05,2.94832222882233e-05,2.946915512754993e-05,3.18320217610242e-05,3.181795460035083e-05,2.69708839888211e-05,2.695681682814773e-05,1.76863920740064e-05,1.767232491333303e-05,-1.40671606733691e-08
1.91246765664765e-06,1.8959028730023777e-06,3.65059099041545e-06,3.6340262067701777e-06,3.41922247597574e-06,3.4026576923304677e-06,1.3558976376414e-06,1.3393328539961276e-06,-3.31751911247492e-06,-3.3340838961201923e-06,-7.53260785440621e-06,-7.549172638051483e-06,-6.9864468803681e-06,-7.003011664013373e-06,-2.3902001463184e-06,-2.4067649299636725e-06,-1.65647836452725e-08
-1.9099235214384e-06,-1.929304482711852e-06,1.11634666616719e-07,9.22537053432669e-08,-3.70903098791151e-06,-3.728411949184962e-06,-1.13908991226623e-05,-1.1410280083935753e-05,-1.73066587689392e-05,-1.7326039730212653e-05,-1.79427462616632e-05,-1.7962127222936655e-05,-1.4048543151209e-05,-1.4067924112482452e-05,-7.67832128688519e-06,-7.697702248158642e-06,-1.93809612734521e-08
4.49807450985388e-07,4.282773263162658e-07,-2.77162565643064e-06,-2.7931557810997625e-06,-6.30277106787872e-07,-6.518072314569942e-07,5.60994679367344e-06,5.588416669004318e-06,1.35233239024024e-05,1.3501793777733278e-05,1.81647189751527e-05,1.8143188850483576e-05,1.56939653692278e-05,1.5672435244558678e-05,7.90771369981183e-06,7.88618357514271e-06,-2.15301246691222e-08
8.27221218918307e-06,8.250188412987476e-06,8.78500698235978e-06,8.762983206164186e-06,1.17389836911324e-05,1.1716959914936806e-05,1.53675988061657e-05,1.534557502997011e-05,1.61526712394473e-05,1.6130647463251707e-05,1.38728522362258e-05,1.3850828460030205e-05,1.12659493274963e-05,1.1243925551300705e-05,9.38842591978677e-06,9.366402143591176e-06,-2.20237761955939e-08
1.3670778152465e-05,1.365069538601842e-05,1.78456680580624e-05,1.7825585291615822e-05,1.61939743009578e-05,1.617389153451122e-05,9.48654211725869e-06,9.46645935081211e-06,1.80487193663884e-06,1.7847891701922597e-06,-2.05614612215598e-06,-2.0762288886025605e-06,1.1369375655783e-07,9.361099011124959e-08,6.64089548263883e-06,6.6208127161922495e-06,-2.00827664465804e-08
2.72479027256969e-05,2.7232590794355616e-05,2.56475091690722e-05,2.5632197237730917e-05,2.49733295059299e-05,2.4958017574588615e-05,2.54134577589165e-05,2.5398145827575218e-05,2.83787110893516e-05,2.8363399158010318e-05,3.21035607938294e-05,3.2088248862488114e-05,3.26661656002535e-05,3.265085366891222e-05,3.00875908537269e-05,3.0072278922385615e-05,-1.53119313412835e-08
-1.54981953399023e-06,-1.5576221901292544e-06,-4.02459403876559e-06,-4.032396694904614e-06,-9.66863235086057e-07,-9.746658912250814e-07,6.02471999240554e-06,6.016917336266516e-06,1.20478793958483e-05,1.2040076739709275e-05,1.33740624189356e-05,1.3366259762796575e-05,1.01830765755978e-05,1.0175273919458776e-05,4.23636830902925e-06,4.228565652890226e-06,-7.80265613902433e-09
6.85851407006217e-06,6.860365699581116e-06,8.91766660408007e-06,8.919518233599018e-06,7.78002678225524e-06,7.781878411774187e-06,4.11738963737552e-06,4.119241266894467e-06,-1.0273617641836e-06,-1.0255101346646537e-06,-4.21967642605003e-06,-4.217824796531084e-06,-2.68715598634051e-06,-2.6853043568215636e-06,2.18224207570047e-06,2.184093705219416e-06,1.85162951894629e-09
-2.12084308898009e-06,-2.108213295705969e-06,-1.02545328629332e-06,-1.0128234930191987e-06,-4.00531890597382e-06,-3.9926891126996986e-06,-9.73798640555425e-06,-9.725356612280129e-06,-1.35138092932411e-05,-1.3501179499966979e-05,-1.27477855908695e-05,-1.273515579759538e-05,-9.41867926208494e-06,-9.406049468810819e-06,-5.49438040356478e-06,-5.4817506102906585e-06,1.26297932741213e-08
